"omega1","lag1_inv","violation","viostatus","intDAV","DAV","invprob"
1,0,0,1,5,2,0.106130032392645
1,0,0,2,5,2,0.380361130373561
1,0,1,1,5,2,0.140133827204286
1,0,1,2,5,2,0.469463289013109
1,1,0,1,5,2,0.106782456301894
1,1,0,2,5,2,0.320508821926943
1,1,1,1,5,2,0.163497665204647
1,1,1,2,5,2,0.364255829630999
2,0,0,1,5,2,0.105258642445204
2,0,0,2,5,2,0.342548692037652
2,0,1,1,5,2,0.139764915577381
2,0,1,2,5,2,0.40676797381392
2,1,0,1,5,2,0.104761890904642
2,1,0,2,5,2,0.293966738683144
2,1,1,1,5,2,0.163805327948768
2,1,1,2,5,2,0.320062088557708
3,0,0,1,5,2,0.106794377576664
3,0,0,2,5,2,0.382322621949438
3,0,1,1,5,2,0.144295410327366
3,0,1,2,5,2,0.473461535080383
3,1,0,1,5,2,0.10729059219113
3,1,0,2,5,2,0.319569099448817
3,1,1,1,5,2,0.171420499550204
3,1,1,2,5,2,0.358605300254379
4,0,0,1,5,2,0.115961384772626
4,0,0,2,5,2,0.475876293144433
4,0,1,1,5,2,0.151736684001169
4,0,1,2,5,2,0.597384653068233
4,1,0,1,5,2,0.119250970054939
4,1,0,2,5,2,0.374184790099159
4,1,1,1,5,2,0.161189850082208
4,1,1,2,5,2,0.4316137255847
5,0,0,1,5,2,0.114205336208482
5,0,0,2,5,2,0.436649200962082
5,0,1,1,5,2,0.154056221454321
5,0,1,2,5,2,0.546743501516492
5,1,0,1,5,2,0.117237179013632
5,1,0,2,5,2,0.348202840058091
5,1,1,1,5,2,0.166251060858767
5,1,1,2,5,2,0.397603960453361
6,0,0,1,5,2,0.115401809767275
6,0,0,2,5,2,0.482993082406711
6,0,1,1,5,2,0.156938289221662
6,0,1,2,5,2,0.614576547724599
6,1,0,1,5,2,0.118545238406908
6,1,0,2,5,2,0.376265223091302
6,1,1,1,5,2,0.169023694032856
6,1,1,2,5,2,0.433181436448097
7,0,0,1,5,2,0.134868616123012
7,0,0,2,5,2,0.469175359788389
7,0,1,1,5,2,0.173393905667737
7,0,1,2,5,2,0.547626298124408
7,1,0,1,5,2,0.135380425075608
7,1,0,2,5,2,0.330062876134766
7,1,1,1,5,2,0.169534475034006
7,1,1,2,5,2,0.36644592920509
8,0,0,1,5,2,0.120763417863307
8,0,0,2,5,2,0.421553287418147
8,0,1,1,5,2,0.143889452344003
8,0,1,2,5,2,0.468653299367021
8,1,0,1,5,2,0.121550870645834
8,1,0,2,5,2,0.299787985687692
8,1,1,1,5,2,0.14134954968675
8,1,1,2,5,2,0.308355594432239
9,0,0,1,5,2,0.130129872632535
9,0,0,2,5,2,0.459721114056023
9,0,1,1,5,2,0.163656885300673
9,0,1,2,5,2,0.530626515733505
9,1,0,1,5,2,0.130275655129471
9,1,0,2,5,2,0.323954685329584
9,1,1,1,5,2,0.15924515008198
9,1,1,2,5,2,0.355643087730119
10,0,0,1,5,2,0.134704314972244
10,0,0,2,5,2,0.432042198828187
10,0,1,1,5,2,0.178751092479588
10,0,1,2,5,2,0.496842118124185
10,1,0,1,5,2,0.13610920751404
10,1,0,2,5,2,0.307102194664376
10,1,1,1,5,2,0.176083924331768
10,1,1,2,5,2,0.336272319056394
11,0,0,1,5,2,0.138081496560455
11,0,0,2,5,2,0.4863897221774
11,0,1,1,5,2,0.186981198313284
11,0,1,2,5,2,0.564796677454553
11,1,0,1,5,2,0.138959272802477
11,1,0,2,5,2,0.330255173113019
11,1,1,1,5,2,0.183227243002522
11,1,1,2,5,2,0.36277721797394
12,0,0,1,5,2,0.116965474188784
12,0,0,2,5,2,0.438239255073982
12,0,1,1,5,2,0.141633576178474
12,0,1,2,5,2,0.548638241022825
12,1,0,1,5,2,0.118631204443362
12,1,0,2,5,2,0.347136177411644
12,1,1,1,5,2,0.139198023119186
12,1,1,2,5,2,0.401235444573062
13,0,0,1,5,2,0.109730292377238
13,0,0,2,5,2,0.408691659847628
13,0,1,1,5,2,0.123799746899238
13,0,1,2,5,2,0.487439418002881
13,1,0,1,5,2,0.11243761405549
13,1,0,2,5,2,0.335010450733039
13,1,1,1,5,2,0.123907423951861
13,1,1,2,5,2,0.370746318839111
14,0,0,1,5,2,0.115686825471996
14,0,0,2,5,2,0.43436512766738
14,0,1,1,5,2,0.137103428954088
14,0,1,2,5,2,0.538516170251677
14,1,0,1,5,2,0.117601675773612
14,1,0,2,5,2,0.345824036372599
14,1,1,1,5,2,0.135329794638309
14,1,1,2,5,2,0.394529945831057
15,0,0,1,5,2,0.115707364661938
15,0,0,2,5,2,0.399466797928919
15,0,1,1,5,2,0.142678044938227
15,0,1,2,5,2,0.498289832469764
15,1,0,1,5,2,0.117648678616687
15,1,0,2,5,2,0.321318040619537
15,1,1,1,5,2,0.140363483090874
15,1,1,2,5,2,0.368639784808191
16,0,0,1,5,2,0.118086028489588
16,0,0,2,5,2,0.446109563570621
16,0,1,1,5,2,0.146587608843875
16,0,1,2,5,2,0.562100313688519
16,1,0,1,5,2,0.119486663363756
16,1,0,2,5,2,0.349343603016441
16,1,1,1,5,2,0.143039726486358
16,1,1,2,5,2,0.40142979444342
17,0,0,1,5,2,0.116334743418137
17,0,0,2,5,2,0.369445030737018
17,0,1,1,5,2,0.158067403157376
17,0,1,2,5,2,0.470582236828064
17,1,0,1,5,2,0.120651549493039
17,1,0,2,5,2,0.265091713637957
17,1,1,1,5,2,0.169233969947481
17,1,1,2,5,2,0.302857324692917
18,0,0,1,5,2,0.10423547007034
18,0,0,2,5,2,0.340281919331114
18,0,1,1,5,2,0.126109017602809
18,0,1,2,5,2,0.408709082045269
18,1,0,1,5,2,0.105548517840816
18,1,0,2,5,2,0.255272053327
18,1,1,1,5,2,0.130033356357463
18,1,1,2,5,2,0.275733468749619
19,0,0,1,5,2,0.117098069302832
19,0,0,2,5,2,0.370687262939338
19,0,1,1,5,2,0.157481638792488
19,0,1,2,5,2,0.465403392569247
19,1,0,1,5,2,0.120902560797381
19,1,0,2,5,2,0.263010948371903
19,1,1,1,5,2,0.164298048780294
19,1,1,2,5,2,0.295538856691104
20,0,0,1,5,2,0.113976978637211
20,0,0,2,5,2,0.32813848597716
20,0,1,1,5,2,0.155101319330638
20,0,1,2,5,2,0.405954122415945
20,1,0,1,5,2,0.11763999602167
20,1,0,2,5,2,0.243602399880525
20,1,1,1,5,2,0.167447245470271
20,1,1,2,5,2,0.272054274332469
21,0,0,1,5,2,0.115955355267498
21,0,0,2,5,2,0.373098092221121
21,0,1,1,5,2,0.162883125883247
21,0,1,2,5,2,0.478019042448157
21,1,0,1,5,2,0.120174932473922
21,1,0,2,5,2,0.264222319011299
21,1,1,1,5,2,0.176271696565644
21,1,1,2,5,2,0.298867747015969
22,0,0,1,5,2,0.139878103392402
22,0,0,2,5,2,0.399750965819182
22,0,1,1,5,2,0.208833158167534
22,0,1,2,5,2,0.4684104856681
22,1,0,1,5,2,0.149149328649641
22,1,0,2,5,2,0.274561892453178
22,1,1,1,5,2,0.224453425300893
22,1,1,2,5,2,0.295086690095354
23,0,0,1,5,2,0.117288414284851
23,0,0,2,5,2,0.379314904037238
23,0,1,1,5,2,0.151674755627484
23,0,1,2,5,2,0.430116250537759
23,1,0,1,5,2,0.120346505826961
23,1,0,2,5,2,0.272920487151779
23,1,1,1,5,2,0.155815452826981
23,1,1,2,5,2,0.280634704905146
24,0,0,1,5,2,0.137707555046822
24,0,0,2,5,2,0.401373232657446
24,0,1,1,5,2,0.201249057922975
24,0,1,2,5,2,0.467192784379689
24,1,0,1,5,2,0.144100154600272
24,1,0,2,5,2,0.274228297310201
24,1,1,1,5,2,0.207528950605119
24,1,1,2,5,2,0.291329954784296
25,0,0,1,5,2,0.138365756374259
25,0,0,2,5,2,0.35707897181656
25,0,1,1,5,2,0.205874236314914
25,0,1,2,5,2,0.403796725343638
25,1,0,1,5,2,0.148251438047119
25,1,0,2,5,2,0.252435215857142
25,1,1,1,5,2,0.224476088177698
25,1,1,2,5,2,0.263829044735913
26,0,0,1,5,2,0.142270439913481
26,0,0,2,5,2,0.399947938676295
26,0,1,1,5,2,0.220549297300159
26,0,1,2,5,2,0.465591576461555
26,1,0,1,5,2,0.152678866233548
26,1,0,2,5,2,0.2704729099831
26,1,1,1,5,2,0.239707701219435
26,1,1,2,5,2,0.28517072010206
27,0,0,1,5,2,0.119364285202298
27,0,0,2,5,2,0.3589461317244
27,0,1,1,5,2,0.146937560547797
27,0,1,2,5,2,0.418417340286916
27,1,0,1,5,2,0.120830207472499
27,1,0,2,5,2,0.270550885387127
27,1,1,1,5,2,0.146399282930395
27,1,1,2,5,2,0.293009336713092
28,0,0,1,5,2,0.110810512148001
28,0,0,2,5,2,0.352221707962213
28,0,1,1,5,2,0.128346657383716
28,0,1,2,5,2,0.395809233252685
28,1,0,1,5,2,0.112472581380085
28,1,0,2,5,2,0.274745146157165
28,1,1,1,5,2,0.127995218288428
28,1,1,2,5,2,0.283635474664481
29,0,0,1,5,2,0.118584036446877
29,0,0,2,5,2,0.363951816993849
29,0,1,1,5,2,0.143268618308431
29,0,1,2,5,2,0.419702451537294
29,1,0,1,5,2,0.119745806668404
29,1,0,2,5,2,0.274405548769269
29,1,1,1,5,2,0.141542155278003
29,1,1,2,5,2,0.293502173577855
30,0,0,1,5,2,0.119041956478976
30,0,0,2,5,2,0.331678917094096
30,0,1,1,5,2,0.150314724962413
30,0,1,2,5,2,0.379233929652744
30,1,0,1,5,2,0.120743767577421
30,1,0,2,5,2,0.254006471898165
30,1,1,1,5,2,0.150660234986741
30,1,1,2,5,2,0.270574663182855
31,0,0,1,5,2,0.119014425688535
31,0,0,2,5,2,0.360479193828629
31,0,1,1,5,2,0.150637358559167
31,0,1,2,5,2,0.420192907967322
31,1,0,1,5,2,0.12054666119033
31,1,0,2,5,2,0.26851732606352
31,1,1,1,5,2,0.15049068296911
31,1,1,2,5,2,0.287520294592458
32,0,0,1,5,2,0.0956743131252554
32,0,0,2,5,2,0.415721626136699
32,0,1,1,5,2,0.110762896483437
32,0,1,2,5,2,0.482341223788705
32,1,0,1,5,2,0.0888160285034348
32,1,0,2,5,2,0.265903078173337
32,1,1,1,5,2,0.122178934844827
32,1,1,2,5,2,0.282359010055445
33,0,0,1,5,2,0.0872150251172351
33,0,0,2,5,2,0.38702090467102
33,0,1,1,5,2,0.0962691857287887
33,0,1,2,5,2,0.429611484858126
33,1,0,1,5,2,0.0745296692595501
33,1,0,2,5,2,0.256148133364753
33,1,1,1,5,2,0.0936449635389729
33,1,1,2,5,2,0.258681744823829
