"omega1","lag1_inv","current_vio","ord_vio","intDAV","DAV","transProb"
1,0,0,0,1,0,0.0358599478061018
1,0,0,1,1,0,0
1,0,0,1,2,0.5,0
1,0,0,1,3,1,0
1,0,0,1,4,1.5,0
1,0,0,1,5,2,0
1,0,0,1,6,2.5,0.00407876979323183
1,0,0,1,7,3,0.00572777653105308
1,0,0,1,8,3.5,0
1,0,0,1,9,4,0
1,0,0,1,10,4.5,0
1,0,0,1,11,5,0
1,0,0,1,12,5.5,0
1,0,0,1,13,6,0
1,0,0,1,14,6.5,0
1,0,0,1,15,7,0
1,0,0,1,16,7.5,0
1,0,0,1,17,8,0
1,0,0,1,18,8.5,0
1,0,0,1,19,9,0
1,0,0,1,20,9.5,0
1,0,1,1,1,0,0
1,0,1,1,2,0.5,0
1,0,1,1,3,1,0
1,0,1,1,4,1.5,0
1,0,1,1,5,2,0
1,0,1,1,6,2.5,0.000258195444780222
1,0,1,1,7,3,0.000459146694170659
1,0,1,1,8,3.5,0
1,0,1,1,9,4,0
1,0,1,1,10,4.5,0
1,0,1,1,11,5,0
1,0,1,1,12,5.5,0
1,0,1,1,13,6,0
1,0,1,1,14,6.5,0
1,0,1,1,15,7,0
1,0,1,1,16,7.5,0
1,0,1,1,17,8,0
1,0,1,1,18,8.5,0
1,0,1,1,19,9,0
1,0,1,1,20,9.5,0
1,0,0,2,1,0,0
1,0,0,2,2,0.5,0
1,0,0,2,3,1,0
1,0,0,2,4,1.5,0
1,0,0,2,5,2,0
1,0,0,2,6,2.5,0.22735057519002
1,0,0,2,7,3,0.320320602839727
1,0,0,2,8,3.5,0
1,0,0,2,9,4,0
1,0,0,2,10,4.5,0
1,0,0,2,11,5,0
1,0,0,2,12,5.5,0
1,0,0,2,13,6,0
1,0,0,2,14,6.5,0
1,0,0,2,15,7,0
1,0,0,2,16,7.5,0
1,0,0,2,17,8,0
1,0,0,2,18,8.5,0
1,0,0,2,19,9,0
1,0,0,2,20,9.5,0
1,0,1,2,1,0,0
1,0,1,2,2,0.5,0
1,0,1,2,3,1,0
1,0,1,2,4,1.5,0
1,0,1,2,5,2,0
1,0,1,2,6,2.5,0.0759223285513319
1,0,1,2,7,3,0.135750415345745
1,0,1,2,8,3.5,0
1,0,1,2,9,4,0
1,0,1,2,10,4.5,0
1,0,1,2,11,5,0
1,0,1,2,12,5.5,0
1,0,1,2,13,6,0
1,0,1,2,14,6.5,0
1,0,1,2,15,7,0
1,0,1,2,16,7.5,0
1,0,1,2,17,8,0
1,0,1,2,18,8.5,0
1,0,1,2,19,9,0
1,0,1,2,20,9.5,0
1,1,0,1,1,0,0
1,1,0,1,2,0.5,0
1,1,0,1,3,1,0
1,1,0,1,4,1.5,0
1,1,0,1,5,2,0
1,1,0,1,6,2.5,0.0408893932216459
1,1,0,1,7,3,0.06131131549171
1,1,0,1,8,3.5,0
1,1,0,1,9,4,0
1,1,0,1,10,4.5,0
1,1,0,1,11,5,0
1,1,0,1,12,5.5,0
1,1,0,1,13,6,0
1,1,0,1,14,6.5,0
1,1,0,1,15,7,0
1,1,0,1,16,7.5,0
1,1,0,1,17,8,0
1,1,0,1,18,8.5,0
1,1,0,1,19,9,0
1,1,0,1,20,9.5,0
1,1,1,1,1,0,0
1,1,1,1,2,0.5,0
1,1,1,1,3,1,0
1,1,1,1,4,1.5,0
1,1,1,1,5,2,0
1,1,1,1,6,2.5,0.00557998213313056
1,1,1,1,7,3,0.0101820133429607
1,1,1,1,8,3.5,0
1,1,1,1,9,4,0
1,1,1,1,10,4.5,0
1,1,1,1,11,5,0
1,1,1,1,12,5.5,0
1,1,1,1,13,6,0
1,1,1,1,14,6.5,0
1,1,1,1,15,7,0
1,1,1,1,16,7.5,0
1,1,1,1,17,8,0
1,1,1,1,18,8.5,0
1,1,1,1,19,9,0
1,1,1,1,20,9.5,0
1,1,0,2,1,0,0
1,1,0,2,2,0.5,0
1,1,0,2,3,1,0
1,1,0,2,4,1.5,0
1,1,0,2,5,2,0
1,1,0,2,6,2.5,0.0169732422838748
1,1,0,2,7,3,0.0254568629603452
1,1,0,2,8,3.5,0
1,1,0,2,9,4,0
1,1,0,2,10,4.5,0
1,1,0,2,11,5,0
1,1,0,2,12,5.5,0
1,1,0,2,13,6,0
1,1,0,2,14,6.5,0
1,1,0,2,15,7,0
1,1,0,2,16,7.5,0
1,1,0,2,17,8,0
1,1,0,2,18,8.5,0
1,1,0,2,19,9,0
1,1,0,2,20,9.5,0
1,1,1,2,1,0,0
1,1,1,2,2,0.5,0
1,1,1,2,3,1,0
1,1,1,2,4,1.5,0
1,1,1,2,5,2,0
1,1,1,2,6,2.5,0.0119986133869299
1,1,1,2,7,3,0.021880819592517
1,1,1,2,8,3.5,0
1,1,1,2,9,4,0
1,1,1,2,10,4.5,0
1,1,1,2,11,5,0
1,1,1,2,12,5.5,0
1,1,1,2,13,6,0
1,1,1,2,14,6.5,0
1,1,1,2,15,7,0
1,1,1,2,16,7.5,0
1,1,1,2,17,8,0
1,1,1,2,18,8.5,0
1,1,1,2,19,9,0
1,1,1,2,20,9.5,0
